genres,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode
dubstep,0.086532856,0.515877778,278611.3,0.734044444,0.188128711,0.166033333,-5.468366667,0.071643333,140.9829222,0.231637778,49.05555556,7,1
japanese jazztronica,0.0867,0.244,243376,0.955,2.54E-06,0.411,-1.532,0.0964,170.375,0.428,61,11,1
london rap,0.087023,0.718933333,174707.3333,0.5962,0.000974633,0.13684,-6.471,0.21378,111.2941333,0.59864,69.46666667,10,0
progressive metalcore,0.087328743,0.497933333,256017.4,0.933333333,0.170297214,0.21848,-5.336533333,0.151713333,122.9132,0.241246667,48.33333333,1,1
cyberpunk,0.087615773,0.451841973,289297.9323,0.800167115,0.451878342,0.36399521,-9.053848856,0.052978717,123.7775671,0.383804871,42.6744281,2,1
hi-nrg,0.087768295,0.701560131,320046.1703,0.699156182,0.11590175,0.196652151,-9.971767885,0.05648109,126.6481457,0.761953579,44.19491844,5,1
riot grrrl,0.087889341,0.508721528,190361.6597,0.815924653,0.259204625,0.142923681,-7.096684722,0.074916528,137.5463142,0.651262847,40.83125,7,1
sacramento indie,0.087941384,0.497681171,245395.0324,0.786774016,0.121024318,0.179065846,-5.853852636,0.05801755,113.090293,0.491730046,45.95188313,7,1
shred,0.08837569,0.430498918,313911.5487,0.817090801,0.468106824,0.213671613,-8.199792208,0.07629961,128.5078582,0.43108447,44.26082251,7,1
latin house,0.088412,0.7754,237196.1333,0.826466667,0.00017406,0.090113333,-9.886333333,0.052993333,125.5538,0.776133333,45.6,7,1
grunge,0.08843311,0.432862782,242898.8517,0.751403933,0.183134143,0.198799563,-8.326956179,0.055717251,126.4109242,0.462415746,40.30808131,9,1
west coast reggae,0.088580182,0.743531818,255345.3955,0.596577273,5.24E-05,0.142826364,-7.226559091,0.087440909,110.2237909,0.758045455,46.15909091,11,1
catstep,0.08980997,0.57646,239883.6933,0.772874762,0.302570254,0.185594476,-5.12011619,0.080648476,135.1030824,0.335353238,55.95,11,1
alternative emo,0.089826546,0.463207723,209518.6858,0.771542854,0.024876465,0.199643302,-6.287205674,0.065423456,133.3471757,0.460143148,47.86835464,4,1
house,0.089997233,0.674668538,233749.7901,0.755795743,0.128071252,0.193134169,-6.261617881,0.065877479,124.0022504,0.481349264,58.14410689,11,1
dark wave,0.090506393,0.496177323,267058.9443,0.700200773,0.322406735,0.199122559,-10.94619981,0.052376236,130.070396,0.491110967,35.85903804,2,1
bay area hip hop,0.09065,0.816,343428,0.7215,0,0.12415,-6.615,0.288,96.4675,0.589,42.5,11,0
british post-rock,0.09099,0.382666667,240544.5,0.3325,0.758166667,0.122666667,-12.659,0.032083333,110.4231667,0.052316667,48,7,1
hopebeat,0.09146225,0.600576923,231545.6603,0.757432692,0.005414192,0.161928846,-6.006974359,0.066282372,121.5154359,0.536439103,55.49358974,9,1
old school hip hop,0.091588627,0.808498582,287995.4314,0.689981482,0.02498679,0.217269006,-9.573127275,0.19686241,112.0495487,0.647616885,39.75565135,7,1
glam punk,0.091594373,0.414907433,201286.2991,0.821749841,0.031822627,0.21641643,-7.942019078,0.083874484,140.566671,0.583553654,35.18134824,9,1
swedish country,0.092465,0.59985,227462.05,0.79435,0.001484909,0.167015,-6.9395,0.05351,117.0466,0.4685,58.9,6,1
dirty south rap,0.092734001,0.743127498,261633.8962,0.675068499,0.004126889,0.217873918,-6.463101124,0.20672813,124.3190228,0.569867092,46.96371833,1,1
memphis hip hop,0.093024311,0.78773875,247651.5994,0.710044727,0.003826484,0.213043607,-5.901607374,0.205610412,128.7689881,0.574464012,46.83686275,1,1
solipsynthm,0.093104,0.6908,226496,0.6592,0.009446088,0.1712,-5.0604,0.12792,115.1756,0.5342,50.4,11,0
shaabi,0.0939,0.725,220867,0.594,0,0.22,-5.243,0.0496,91.794,0.25,52,2,1
connecticut indie,0.09435,0.6785,183609.5,0.679,0.001172,0.176,-4.956,0.05215,125.0045,0.1975,46,7,1
electroclash,0.094367185,0.638397436,256825.5128,0.786217949,0.177225666,0.173123077,-5.772044872,0.080291026,131.4609167,0.563070513,47.09615385,10,0
musica infantil catala,0.094433333,0.590333333,164591,0.892,0.29366705,0.310133333,-5.577,0.054833333,146.2426667,0.614666667,46.66666667,2,1
kwaito house,0.0945,0.781,250337,0.721,0.391,0.104,-9.133,0.0514,123.011,0.849,68,5,0
symphonic metal,0.094655489,0.421416667,262707.7333,0.799316667,0.050058846,0.133871667,-5.700483333,0.049323333,131.1008,0.343508333,50.18333333,7,0
big beat,0.094907638,0.598955076,306144.3527,0.717090195,0.392084865,0.219499295,-9.262080069,0.072397093,119.9557427,0.477208457,46.25503682,5,1
acid jazz,0.095023333,0.681916667,300990.8333,0.660916667,0.2323705,0.117225,-11.38975,0.067516667,104.1435833,0.688583333,38.16666667,7,1
francoton,0.0955,0.719722222,239892.5556,0.649944444,3.80E-06,0.124361111,-8.981722222,0.063527778,113.7918333,0.5525,63.5,11,0
azonto,0.095513,0.712416667,195633.7,0.7138,0.000528471,0.220741667,-5.651183333,0.16959,113.1232833,0.60845,61.31666667,7,1
liquid funk,0.095568333,0.54684375,271797.1146,0.712885417,0.228282383,0.2311375,-7.829708333,0.098470833,141.4143854,0.390714583,45.30208333,11,1
djent,0.096000182,0.4675,244710.6889,0.867377778,0.340554737,0.235887778,-6.156988889,0.111054444,133.7151444,0.29794,43.05555556,1,1
dark disco,0.09604,0.6225,267103.5,0.7715,0.02228,0.1213,-6.5285,0.04,110.764,0.5915,44.5,10,0
australian dance,0.096102987,0.619656512,245035.8482,0.748914593,0.10618737,0.206505668,-6.325167002,0.074657661,125.8063211,0.46258881,53.69378954,7,1
harlem hip hop,0.09671021,0.756724906,275972.472,0.685795116,0.039646756,0.247401403,-8.570983348,0.211913743,107.3665149,0.646843484,42.87075212,11,1
anthem emo,0.096925557,0.487656614,198667.9948,0.782496032,0.0120804,0.217558783,-5.649281922,0.072859083,133.0549097,0.434807055,50.75405644,8,1
uk dance,0.096938484,0.642034969,219239.1734,0.736519029,0.061811444,0.223706718,-5.90680882,0.056797278,117.1223819,0.485581638,65.1520802,5,0
psychedelic blues-rock,0.097794611,0.404975,316340.1187,0.663640972,0.174215258,0.24863875,-10.34220417,0.069192292,131.4599722,0.506379167,26.75902778,2,1
powerviolence,0.097891,0.48525,87896.75,0.821,0.31545,0.3295,-11.2555,0.073075,102.4135,0.47575,27.25,1,0
hyphy,0.09795894,0.793803311,259020.2503,0.645922725,0.003074661,0.183760643,-7.208143201,0.228055153,103.3869578,0.567888975,43.9142943,1,1
dutch edm,0.09833975,0.64809127,212928.8452,0.870630952,0.025334221,0.183709524,-4.061781746,0.061711111,121.5430516,0.554674206,58.12698413,2,1
mashup,0.098568667,0.645555556,252721.5,0.827569444,0.294362316,0.197870833,-5.098680556,0.099976389,118.1590694,0.486888889,45.40277778,11,0
modern ska punk,0.098716174,0.534870387,196662.3584,0.835386705,0.053148481,0.237431151,-5.366736997,0.091922129,128.1927155,0.678619319,41.07944435,0,1
balearic,0.09904,0.68275,428111,0.7955,0.40578,0.2618,-8.39425,0.0446,125.24275,0.85525,35.25,7,1
cumbia pop,0.0993,0.706333333,257491.6667,0.761666667,0.000345933,0.194666667,-5.169,0.1606,141.4703333,0.753333333,55,11,0
japanese r&b,0.099474,0.5072,265759.4,0.6834,0.002062508,0.25162,-6.5345,0.05856,131.1316,0.4915,47.5,6,0
uk dancehall,0.099496667,0.7727,221733.5333,0.6546,3.92E-05,0.25362,-6.7207,0.121413333,134.521,0.744166667,55.96666667,6,0
australian metalcore,0.099956167,0.487939732,226930.9844,0.823926339,0.022411763,0.176015625,-5.414676339,0.099288393,121.744471,0.335585714,48.31026786,9,1
ambient industrial,0.10005,0.6545,350260,0.6255,0.41106,0.33095,-14.0895,0.0365,115.294,0.6555,31,8,1
omaha indie,0.100704006,0.407763889,210745.5139,0.745472222,0.158831968,0.295906944,-8.261361111,0.1100875,124.8586806,0.434268056,40.29166667,2,1
columbus ohio indie,0.1008,0.54225,198846.5,0.7435,0.004556375,0.3625,-6.2735,0.038675,120.9195,0.7785,41,11,1
electronic trap,0.100884167,0.645271164,232810.7708,0.765827824,0.126344375,0.213753494,-5.492408199,0.110936199,132.0730646,0.389331596,55.38278107,1,1
brazilian reggae,0.101,0.735,363867,0.493,1.20E-05,0.305,-9.599,0.177,80.72,0.538,49,8,1
nigerian hip hop,0.101292,0.6965,209492.05,0.697325,0.001510608,0.221025,-6.10315,0.17831,123.29455,0.488925,71.975,7,1
jewish hip hop,0.101331667,0.719333333,254502.3333,0.7225,0.00373425,0.13085,-5.500333333,0.299,94.83566667,0.644,44.83333333,10,1
substep,0.101821429,0.4525,295079,0.461142857,0.309043245,0.114914286,-10.59828571,0.036314286,140.2560714,0.203857143,48.5,5,0
j-dance,0.102,0.397,190045,0.668,0,0.0744,-4.292,0.0855,67.012,0.456,62,9,1
bass trap,0.102206137,0.604545866,234649.4942,0.761707623,0.127332205,0.211439406,-5.721447674,0.085314987,126.8634432,0.358771124,56.48514212,5,1
argentine reggae,0.10265,0.7504,254069.4833,0.571094444,0.000270803,0.126980556,-7.183283333,0.071425,125.6554556,0.788844444,61.22222222,6,1
japanese psychedelic,0.10279775,0.435527778,350498.6944,0.697583333,0.457684451,0.235141667,-8.416833333,0.0786,131.3081944,0.547461111,27.91666667,2,1
deep southern trap,0.102958228,0.751655623,259157.7919,0.674226006,0.002276029,0.227335936,-6.207619333,0.223893759,122.0354877,0.563781278,45.37093434,1,1
brutal deathcore,0.102965104,0.539446429,229160.25,0.872017857,0.011019799,0.146325,-5.691267857,0.114928571,119.0785714,0.429142857,37.05357143,7,1
swedish electronic,0.1031,0.845,295608.5,0.356,0.3645,0.09425,-12.5935,0.05235,113.9435,0.4635,60.5,1,1
swedish house,0.1031,0.845,295608.5,0.356,0.3645,0.09425,-12.5935,0.05235,113.9435,0.4635,60.5,1,1
german dance,0.103277906,0.707010417,212375.9375,0.7503125,0.149497739,0.172848958,-6.7600625,0.072476042,124.0439375,0.612614583,61.44791667,2,0
early us punk,0.10366479,0.411474617,187866.4289,0.848139831,0.035875469,0.272453696,-7.861317254,0.099983882,136.8259051,0.572764331,32.75423326,11,1
stoner rock,0.103898994,0.376543877,295231.8902,0.754404799,0.356445448,0.179259386,-8.105704709,0.058710812,123.6662154,0.40325674,42.7458078,9,1
deep funk,0.104,0.654,149293,0.627,3.18E-05,0.143,-6.137,0.0298,109.057,0.817,55,2,1
trap espanol,0.104833333,0.805666667,178392.3333,0.690666667,0.0011285,0.113966667,-9.617333333,0.091366667,104.3096667,0.513666667,72,8,1
instrumental rock,0.104925125,0.441755884,314335.6558,0.74446477,0.574736199,0.218581107,-9.200793242,0.063260373,125.7317965,0.480959434,40.81115211,9,1
psychedelic doom,0.1051353,0.288371429,377301.6429,0.701642857,0.66968,0.112735714,-9.031071429,0.047028571,110.4717143,0.274714286,43.28571429,1,1
japanese experimental,0.105225,0.64075,333939.25,0.502,0.70725,0.15065,-13.18875,0.041225,108.20675,0.5725,35.5,5,1
g funk,0.105264502,0.780272591,269053.7283,0.684076667,0.003682856,0.217538215,-7.03390799,0.237609675,107.6830179,0.626464698,44.28618923,1,1
bath indie,0.105308,0.6175,236496.75,0.71075,0.1773245,0.153675,-5.152,0.048475,121.30225,0.53125,56,5,1
underground power pop,0.105366825,0.481101465,203685.2973,0.76434652,0.004287937,0.170292454,-9.457731319,0.04664511,136.3561597,0.69156978,35.73388278,4,1
perth indie,0.105425,0.544,173834.75,0.837,6.91E-05,0.221525,-5.20925,0.068075,143.19325,0.6585,54.75,7,1
gothic rock,0.105687831,0.496703659,255681.9085,0.713794979,0.26625479,0.173469619,-10.82795036,0.055454369,131.7949901,0.544485913,34.01338313,7,1
candy pop,0.105712776,0.531114155,219782.972,0.768093266,0.027097188,0.21960676,-5.536290962,0.065692651,131.8643305,0.513495792,49.87491524,2,1
retro electro,0.105780446,0.534,264214.5,0.721,0.308904345,0.156138462,-7.513653846,0.045753846,126.7937692,0.457146154,51.30769231,10,0
west coast rap,0.10591929,0.778881013,262791.0583,0.671190263,0.00837301,0.212107784,-7.352787046,0.232192542,107.4565852,0.602930048,45.19268534,1,1
canadian rock,0.106067442,0.501420607,235261.6344,0.776553068,0.079952139,0.182584071,-6.337237941,0.056558362,132.6285777,0.512562014,46.27694243,4,1
german oi,0.106143,0.2815,166540,0.788,0.37001245,0.39,-8.5365,0.08865,172.404,0.338,0,11,1
funana,0.106415714,0.854571429,244763.7143,0.658571429,0.106564429,0.256685714,-9.836714286,0.107685714,105.0935714,0.883,49.42857143,11,0
detroit house,0.106433333,0.717916667,330391.0833,0.699166667,0.454316667,0.171016667,-12.26716667,0.0588,119.2413333,0.661783333,50.41666667,11,1
ambient techno,0.107104333,0.696333333,356709,0.5555,0.610366667,0.0817,-14.38233333,0.034333333,128.28,0.798083333,36.5,1,0
texas pop punk,0.1073658,0.538791667,205393.9484,0.807638889,9.04E-06,0.182611111,-4.797363095,0.066761706,127.0920317,0.650555556,52.75396825,10,1
deep disco,0.107408851,0.75154386,420333.2149,0.674013158,0.110953364,0.165321053,-10.95241228,0.078414035,117.5491842,0.794517544,36.02631579,11,1
freestyle,0.108183949,0.710688635,290183.7891,0.687339712,0.105987524,0.144669349,-9.729139846,0.058190614,121.6215341,0.706332124,38.30705048,7,1
edm,0.108499889,0.622630406,232204.4118,0.760311879,0.121884985,0.204106187,-5.611647166,0.083932716,127.0176012,0.420660503,57.67894029,11,1
alternative pop,0.10876322,0.467890789,224327.17,0.739357011,0.155530636,0.174340134,-8.91946169,0.048283795,128.2728133,0.566068304,37.50062936,9,1
new orleans indie,0.108966667,0.688333333,209919.6667,0.832666667,0.001857,0.091666667,-3.86,0.036533333,101.945,0.733,58,11,1
anime latino,0.109195568,0.454583333,240169.4167,0.90275,0.003949962,0.255758333,-3.551333333,0.057275,136.8926667,0.5535,55.5,0,1
christian punk,0.109433662,0.536971861,209821.5909,0.819709957,0.035076874,0.208062554,-5.297155844,0.071757359,128.4938658,0.576887229,41.99350649,9,1
japanese electropop,0.109653,0.651125,200517,0.813625,0.006531548,0.23395,-4.904875,0.1695375,135.847375,0.59675,58.75,7,1
halifax indie,0.11,0.474,216267,0.902,0.0506,0.102,-8.595,0.0736,194.341,0.95,35,4,1
nintendocore,0.11019325,0.51605,237113.15,0.869575,0.056537433,0.231975,-4.93805,0.118555,134.593725,0.406975,50.825,1,0
shimmer psych,0.1104,0.63,202492.3333,0.623,0.258075467,0.1741,-9.421666667,0.0818,101.4746667,0.596666667,62.66666667,6,0
gangster rap,0.11054086,0.749390514,260390.1275,0.682224349,0.007383839,0.217838502,-7.177746423,0.235277158,113.7181539,0.586397988,46.27271211,1,1
drone metal,0.111023184,0.309014286,377204.4286,0.628107143,0.66418,0.201328571,-10.94567857,0.045225,107.6476071,0.202385714,40.14285714,8,1
dancehall,0.111421823,0.723288017,226691.3945,0.691621335,0.004568459,0.156661026,-6.227573918,0.187510865,120.6049485,0.719878276,51.83117025,10,1
sound team,0.11160505,0.483,238380.25,0.7854125,0.1136025,0.19205,-7.76175,0.080375,110.1995,0.585625,44.25,2,1
gaming edm,0.111673176,0.578540966,239626.9818,0.80737395,0.258929811,0.205096359,-5.150390406,0.076134874,130.2018494,0.339030812,58.21848739,11,0
ska argentino,0.111764841,0.675747522,236629.4363,0.67209804,0.016404247,0.189264838,-7.798046766,0.056144421,118.2259882,0.697391113,56.38072344,6,1
sheffield indie,0.111854959,0.403301515,227776.037,0.655906364,0.046678252,0.190021424,-8.27970697,0.046519182,123.9431252,0.476963152,51.63060606,9,1
electro,0.112109293,0.795168067,304695.9026,0.665571427,0.106309196,0.195405539,-10.43553653,0.145612011,113.4303403,0.65854768,37.22205261,7,1
detroit trap,0.112419524,0.726878571,236279.281,0.70092619,0.025813583,0.219266905,-7.272111905,0.243889524,112.2866976,0.510297619,56.36428571,1,1
finnish alternative rock,0.1125545,0.546,260433.5,0.693,3.99E-05,0.29065,-4.537,0.0257,98.5045,0.437,61,2,1
slovenian electronic,0.112975,0.75475,263159.75,0.6485,0.02369,0.198,-5.45875,0.080225,92.4935,0.7305,54.5,7,1
deep dance pop,0.11355,0.7015,237182.5,0.942,0,0.289,-3.631,0.149,128.486,0.5825,66.5,10,1
rochester mn indie,0.1135969,0.637333333,163698.3333,0.671333333,0.545333863,0.279666667,-6.700666667,0.039333333,117.9136667,0.519133333,62,6,1
britpop,0.114055556,0.488127412,240592.6762,0.743081519,0.089759289,0.207692736,-7.942117003,0.052062849,124.4059045,0.569246537,46.85437326,7,1
dance-punk,0.114131435,0.548470731,243612.4304,0.775372521,0.167819416,0.198600329,-6.189726127,0.074070199,128.1802255,0.539320816,45.55824326,7,1
new jersey punk,0.114424172,0.410189841,202703.15,0.902791713,0.030887721,0.229076197,-5.773940819,0.109020571,142.6129654,0.372449995,40.65256475,7,1
oxford indie,0.114722284,0.455497048,265894.5593,0.697216095,0.235852597,0.204166638,-8.270820952,0.048167171,114.9454804,0.3701344,51.92580952,7,1
kentucky metal,0.115,0.729,251240,0.838,0,0.0594,-5.997,0.412,172.279,0.739,40,4,0
retro metal,0.115052857,0.461214286,319757.2143,0.718214286,0.447411286,0.104792857,-8.214642857,0.048685714,127.4791429,0.409857143,48.14285714,1,1
stomp pop,0.115468284,0.625140495,213587.7306,0.783691826,0.043199803,0.197067158,-4.728498313,0.062477097,123.1531657,0.511478388,53.75216888,7,1
rock urbano mexicano,0.115582959,0.482693446,265555.0411,0.723696089,0.013128093,0.179523168,-8.905975775,0.078857814,132.317172,0.479390821,48.73106061,4,1
uk hip hop,0.11569436,0.691898065,217056.1548,0.660700893,0.059982295,0.209965179,-7.035917411,0.19540186,121.1639613,0.544851042,63.85491071,10,1
aussietronica,0.11574697,0.659,247803.6212,0.696984848,0.098335176,0.132990909,-6.26219697,0.066957576,118.6313182,0.344166667,60.21212121,1,0
broken beat,0.1158,0.677333333,273031,0.557666667,0.164297333,0.104633333,-9.289666667,0.123133333,112.7556667,0.7,36.83333333,11,1
australian indie rock,0.116,0.529,242007,0.638,0,0.0964,-7.104,0.0301,169.96,0.504,63,0,1
uk doom metal,0.1160263,0.328115413,358239.7422,0.715057156,0.406728808,0.17337945,-8.333793119,0.046566514,110.060372,0.288844128,40.22293578,1,1
k-pop girl group,0.116095923,0.71885085,207046.9577,0.84643305,0.00248895,0.18608843,-3.282468707,0.090177591,125.3766204,0.669286281,62.79399093,7,1
math rock,0.116265549,0.420196562,224138.5798,0.743646651,0.39235175,0.222489897,-9.256680365,0.085881717,121.3902124,0.401129419,35.36384127,9,1
philly indie,0.116531138,0.48442392,230924.1012,0.765813228,0.058878833,0.1846981,-6.650343778,0.052359167,123.8839738,0.500287467,47.32130181,8,1
gauze pop,0.116670923,0.614760449,241223.2393,0.647214472,0.015958286,0.178284796,-6.628113114,0.054371134,121.9158083,0.40776442,59.14028213,6,0
hard rock,0.116776977,0.465860181,269038.9325,0.745276756,0.094068698,0.243769949,-8.824912269,0.066906607,125.0042709,0.489010886,38.02199203,9,1
boston hip hop,0.11765956,0.732354167,249361.7477,0.720041667,0.001249632,0.150031481,-6.392094907,0.191718519,114.5983704,0.611048611,51.09722222,11,1
k-pop boy group,0.117761561,0.721077218,216189.8094,0.796484388,7.44E-05,0.177977603,-3.586663808,0.074582741,116.7852662,0.630943244,64.07059315,5,1
neo-synthpop,0.11781648,0.600298974,263740.7532,0.736189722,0.127324078,0.170953833,-6.485676795,0.050276274,126.1736081,0.513053175,50.93698718,9,1
texas punk,0.118020747,0.447666667,172652,0.687833333,0.2876674,0.178333333,-8.783333333,0.050683333,111.262,0.650333333,40.66666667,7,1
baton rouge rap,0.118214561,0.756762162,231410.5183,0.661615688,0.004579494,0.176724393,-6.340482956,0.206265145,122.6328163,0.52072077,48.57433809,1,1
j-rock,0.118661631,0.506435333,283734.2687,0.819735333,0.060341814,0.216786133,-4.907798667,0.083072133,127.1100393,0.549447333,54.496,6,1
italian disco,0.119040909,0.720356534,328038.7102,0.657785985,0.158985925,0.16580767,-9.837377367,0.04625,121.9228338,0.761292992,46.22679924,11,0
deep groove house,0.11925465,0.666994709,244753.0283,0.720062496,0.120470665,0.159912571,-6.775458917,0.055266038,122.4254164,0.474517772,56.88571429,5,1
modern alternative rock,0.119435785,0.561109176,230372.214,0.739095755,0.046929625,0.189338166,-6.024151393,0.068318407,121.9558658,0.497725168,55.16423478,2,1
pop edm,0.119651071,0.603676762,216702.5276,0.758471545,0.060124452,0.190684973,-5.279405014,0.065023056,126.393331,0.398595285,60.26205962,7,1
dembow,0.11985,0.867166667,309943.8611,0.616305556,0.000578151,0.158413889,-8.467777778,0.128472222,101.6944444,0.504305556,64.13888889,6,1
modern power pop,0.119941628,0.465804158,190070.1625,0.7649513,0.129063448,0.254778167,-6.860482179,0.045933203,119.5133112,0.487236531,44.29774725,9,1
turkish experimental,0.12,0.549,562960,0.527,3.02E-05,0.395,-10.149,0.154,133.726,0.722,32,5,0
bass house,0.120106275,0.727913333,237063.763,0.735271176,0.109103358,0.156218088,-5.770185196,0.079175284,121.3834923,0.392169216,53.05166667,7,1
bronx hip hop,0.12066665,0.769156366,273856.6999,0.709466277,0.011808239,0.237598767,-7.775165595,0.256924584,111.6937817,0.634142797,43.34073973,7,1
christian metal,0.120958346,0.477866566,239171.059,0.774272929,0.091184053,0.20945304,-7.150551919,0.075952889,133.5388695,0.412703354,38.24080808,8,1
eurobeat,0.1210896,0.556833333,286936.4,0.8041,0.000321112,0.299556667,-5.6799,0.047993333,137.9721,0.6066,43.8,9,1
boston rock,0.121866099,0.490036947,203789.5078,0.716860434,0.140969574,0.211485152,-9.118161503,0.079965364,127.862168,0.572062205,38.68207039,7,1
collage pop,0.121949511,0.584238889,205093.95,0.749744444,0.01795998,0.268517778,-7.759572222,0.0829,141.2614278,0.488166667,53.36111111,7,1
funk rock,0.122139464,0.585538442,270255.4275,0.733312884,0.099280499,0.206611276,-8.400397467,0.087687538,119.0247846,0.577693703,40.34201232,9,1
modern southern rock,0.122495613,0.543669348,273097.7765,0.699696836,0.043021665,0.179350452,-6.827839079,0.050291993,116.5527167,0.586016503,43.83287876,11,1
uk post-punk,0.122922685,0.545251972,237292.448,0.70280482,0.28848088,0.165148884,-9.705131017,0.07723987,127.1293962,0.587268294,33.65229195,7,1
brisbane indie,0.123,0.6075,229646,0.5885,9.70E-06,0.1062,-7.8635,0.03245,142.9715,0.345,62,0,1
basshall,0.12342,0.7645,190884.75,0.749,2.60E-05,0.2259,-4.461,0.10815,115.25825,0.6675,71.75,7,1
australian electropop,0.123611139,0.605452315,263555.086,0.688741809,0.142553936,0.170299469,-6.869707479,0.053226574,127.9858028,0.40888474,51.75042735,5,0
san diego indie,0.123804294,0.544055556,210471.5,0.715638889,0.378258021,0.236583333,-8.031847222,0.07885,126.3725972,0.393508333,55.30555556,4,1
zouglou,0.124,0.834,295147,0.674,0,0.0828,-13.455,0.0721,119.039,0.951,56,7,0
mexican hip hop,0.124221447,0.762783234,248276.0071,0.687470858,0.017538431,0.160495722,-5.806813244,0.139676364,110.2908377,0.708343626,51.54935516,8,1
new orleans rap,0.124319231,0.739140326,261630.598,0.697515593,0.002180409,0.191677432,-5.996382674,0.250472777,124.9941735,0.598227488,45.76197197,6,1
scottish new wave,0.124368112,0.581677797,257119.5437,0.69158893,0.109600664,0.176457783,-9.805129262,0.04677185,124.4138533,0.639154056,43.34047796,9,1
garage rock,0.124574246,0.473831567,225202.8971,0.763136228,0.134944177,0.202301821,-7.08031123,0.067877725,129.1196458,0.538051374,44.23430304,9,1
rap dominicano,0.124896875,0.8353125,290210.5833,0.633697917,0.022633207,0.146563542,-8.738145833,0.109685417,104.4110521,0.559947917,63.66666667,6,1
moldovan pop,0.124955556,0.777,227343.6667,0.889888889,0.005622222,0.070277778,-4.472111111,0.038533333,129.0468889,0.625111111,49.66666667,0,1
ny roots,0.125,0.736,254393,0.5515,0.1955273,0.08265,-9.6325,0.03895,136.6835,0.829,37.5,9,1
villancicos,0.125,0.717,186667,0.319,0.000287,0.151,-16.996,0.0459,105.726,0.964,30,7,1
detroit hip hop,0.125056194,0.718610908,231797.3842,0.7057726,0.025365458,0.257027584,-5.575145411,0.221406186,106.4390609,0.535686717,53.37045773,1,1
nu-cumbia,0.1251672,0.666103673,263604.2052,0.701292365,0.152530384,0.19481664,-8.039109932,0.087586091,111.326917,0.679291896,47.95390049,11,1
ghanaian hip hop,0.125283333,0.8055,213377.8333,0.690666667,0.000309815,0.184633333,-5.517666667,0.064683333,104.8451667,0.604666667,66.5,7,1
trance,0.125326923,0.568258571,251009.0695,0.765238095,0.240664748,0.168414619,-7.997847619,0.057214333,130.3469924,0.433956476,49.95380952,10,1
dirty texas rap,0.125336491,0.783631579,290417.0877,0.566754386,0.015606484,0.19117193,-7.828947368,0.228442105,129.5517281,0.571105263,38.42982456,1,1
swedish alternative rock,0.125705421,0.566711111,220100.6671,0.739352174,0.102418887,0.18778599,-6.13434058,0.065595604,132.3267454,0.516836715,46.08405797,2,1
okc indie,0.126027197,0.422086957,313321.5217,0.5335,0.10957423,0.228565217,-11.13828261,0.051828261,141.0169348,0.511434783,36.80434783,9,1
strut,0.126094583,0.722125,268722.2917,0.696291667,0.081445101,0.120633333,-7.571416667,0.092,121.8335833,0.760458333,44.79166667,11,1
australian indigenous,0.1261,0.527,274546.6667,0.729666667,0.008021667,0.163633333,-6.22,0.033366667,142.7973333,0.605,27.33333333,11,1
filter house,0.12622565,0.691480636,256704.7947,0.763745897,0.226326407,0.176835359,-5.673422738,0.092485172,120.7916836,0.58075573,54.45749665,1,1
melodic metal,0.126332524,0.456792929,279370.4848,0.819106061,0.071874946,0.238817172,-6.19459596,0.065833838,133.871702,0.425924242,45.78787879,10,1
christian hip hop,0.126565018,0.704551563,248831.6255,0.784038542,0.036096613,0.189554688,-5.693521354,0.159553333,126.617524,0.593432292,50.80989583,8,1
american shoegaze,0.126599267,0.236083333,354050,0.743333333,0.496916667,0.20375,-9.717333333,0.047233333,113.6004167,0.266833333,40.58333333,11,1
egyptian pop,0.1266,0.737,252931.25,0.73625,7.92E-06,0.116725,-9.4305,0.056625,134.997,0.741,52.5,5,1
houston rap,0.126711149,0.750100529,269632.332,0.646020783,0.014323055,0.21157057,-7.066634358,0.23969384,128.0889161,0.592200451,44.88264469,11,1
go-go,0.1268575,0.641625,314369.375,0.7765,0.05050685,0.229275,-10.685125,0.075525,120.821125,0.8465,32.75,10,1
southern hip hop,0.127926354,0.724273336,244243.883,0.670593903,0.013713224,0.204043641,-6.528124505,0.20686462,119.7931815,0.543501829,51.04365954,1,1
reading indie,0.128104342,0.31176,266772.88,0.703406,0.546116,0.233522,-9.11668,0.042356,107.60109,0.31537,36.26,2,1
grime,0.128417463,0.742213853,230501.9251,0.767252814,0.034131946,0.197349351,-5.285690476,0.148862554,119.9490831,0.606148485,59.34805195,7,1
canadian pop punk,0.128486947,0.473994086,204480.8794,0.790746237,0.001686209,0.153923011,-5.254416667,0.064136577,147.0783912,0.538682975,51.31003584,10,1
atl hip hop,0.128864374,0.733589789,242961.3484,0.652538454,0.012474605,0.197391373,-6.584511479,0.186083447,123.6244982,0.523255834,52.3355851,1,1
miami hip hop,0.128882408,0.712722738,210323.6123,0.689566113,0.006815028,0.248653508,-7.003069767,0.185806731,126.8082774,0.545683089,54.1286806,1,1
j-idol,0.129011107,0.556544048,262207.7643,0.879121429,0.000708669,0.299054643,-4.011419048,0.06425881,126.8636988,0.647164286,51.80952381,11,1
uk alternative hip hop,0.129034286,0.720457143,239986.8286,0.740142857,0.065266221,0.236188571,-6.730485714,0.259094286,147.8347429,0.6008,53.68571429,10,1
